token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
14329,SMSPHARMA-EQ,SMSPHARMA,,-1,1,,NSE,5
967,SUBEXLTD-EQ,SUBEXLTD,,-1,1,,NSE,5
8696,VRLLOG-EQ,VRLLOG,,-1,1,,NSE,5
804,SHIVATEX-EQ,SHIVATEX,,-1,1,,NSE,5
1726,JBCHEPHARM-EQ,JBCHEPHARM,,-1,1,,NSE,5
1348,HEROMOTOCO-EQ,HEROMOTOCO,,-1,1,,NSE,5
7353,SETFNN50-EQ,SETFNN50,,-1,1,,NSE,1
15409,NESCO-EQ,NESCO,,-1,1,,NSE,5
21808,SBILIFE-EQ,SBILIFE,,-1,1,,NSE,5
20323,RESPONIND-EQ,RESPONIND,,-1,1,,NSE,5
14547,NXTDIGITAL-EQ,NXTDIGITAL,,-1,1,,NSE,5
14813,ADSL-EQ,ADSL,,-1,1,,NSE,5
19366,AHLWEST-EQ,AHLWEST,,-1,1,,NSE,5
11689,SUPRAJIT-EQ,SUPRAJIT,,-1,1,,NSE,5
1607,GODHA-EQ,GODHA,,-1,1,,NSE,5
17927,BAYERCROP-EQ,BAYERCROP,,-1,1,,NSE,5
4221,VISAKAIND-EQ,VISAKAIND,,-1,1,,NSE,5
6961,MENONBE-EQ,MENONBE,,-1,1,,NSE,5
14537,DISHTV-EQ,DISHTV,,-1,1,,NSE,5
18581,KIRLOSBROS-EQ,KIRLOSBROS,,-1,1,,NSE,5
3672,SOLARA-EQ,SOLARA,,-1,1,,NSE,5
20134,RAMKY-EQ,RAMKY,,-1,1,,NSE,5
14567,BFUTILITIE-EQ,BFUTILITIE,,-1,1,,NSE,5
3821,ZODIACLOTH-EQ,ZODIACLOTH,,-1,1,,NSE,5
18321,LGBBROSLTD-EQ,LGBBROSLTD,,-1,1,,NSE,5
1841,KCP-EQ,KCP,,-1,1,,NSE,5
17922,GEEKAYWIRE-EQ,GEEKAYWIRE,,-1,1,,NSE,5
11435,SPANDANA-EQ,SPANDANA,,-1,1,,NSE,5
6908,VISHNU-EQ,VISHNU,,-1,1,,NSE,5
4898,FDC-EQ,FDC,,-1,1,,NSE,5
15313,IRB-EQ,IRB,,-1,1,,NSE,5
2306,BESTAGRO-EQ,BESTAGRO,,-1,1,,NSE,5
11236,JSL-EQ,JSL,,-1,1,,NSE,5
3607,UNIVCABLES-EQ,UNIVCABLES,,-1,1,,NSE,5
