token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
27300,RTNINFRA-BL,RTNINFRA,,-1,1,,NSE,5
12334,DIVISLAB-BL,DIVISLAB,,-1,1,,NSE,5
8679,MAHAPEXLTD-BE,MAHAPEXLTD,,-1,1,,NSE,5
14791,SPARC-BL,SPARC,,-1,1,,NSE,5
15047,DELTACORP-BL,DELTACORP,,-1,1,,NSE,5
16999,GISOLUTION-BL,GISOLUTION,,-1,1,,NSE,5
2357,NURECA-BL,NURECA,,-1,1,,NSE,5
13522,NECCLTD-EQ,NECCLTD,,-1,1,,NSE,5
12622,NATCOPHARM-BL,NATCOPHARM,,-1,1,,NSE,5
2212,BIRET-BL,BIRET,,-1,1,,NSE,1
15086,ADANIPORTS-BL,ADANIPORTS,,-1,1,,NSE,5
11915,YESBANK-EQ,YESBANK,,-1,1,,NSE,5
24403,ASHIANA-EQ,ASHIANA,,-1,1,,NSE,5
12659,PATELENG-BL,PATELENG,,-1,1,,NSE,5
1267,GUJALKALI-EQ,GUJALKALI,,-1,1,,NSE,5
9227,L&TFINANCE-NE,L&TFINANCE,,-1,1,,NSE,1
419,BEPL-EQ,BEPL,,-1,1,,NSE,5
13101,VIMTALABS-EQ,VIMTALABS,,-1,1,,NSE,5
1200,MAESGETF-EQ,MAESGETF,,-1,1,,NSE,1
17875,GODREJPROP-EQ,GODREJPROP,,-1,1,,NSE,5
1313,HARRMALAYA-EQ,HARRMALAYA,,-1,1,,NSE,5
10650,PRABHAT-EQ,PRABHAT,,-1,1,,NSE,5
18127,DBREALTY-BL,DBREALTY,,-1,1,,NSE,5
3048,SCI-EQ,SCI,,-1,1,,NSE,5
8224,DHANILOANS-N1,DHANILOANS,,-1,1,,NSE,1
20828,HUDCO-BL,HUDCO,,-1,1,,NSE,5
458,SGBNOV25-GB,SGBNOV25,,-1,1,,NSE,1
13687,MBECL-BE,MBECL,,-1,1,,NSE,5
